ROWNUM;FullName;ShortName;Area;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;Bedspace;Departments;ExtraInfo;X;Y;GLOBALID;
35;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 53 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 53 ДЗМ";"Юго-Восточный административный округ";"Южнопортовый район";"109432";"улица Трофимова, дом 26";"Аракелов Сергей Эрнестович";"главный врач";"мужской";"(495) 958-95-59";"(495) 958-95-59";"(495) 958-94-34";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"575";"";"";"37,679591";"55,702034";"84055692";
36;"Государственное бюджетное учреждение здравоохранения города Москва «Городская клиническая больница № 55 Депортамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 55 ДЗМ";"Южный административный округ";"Донской район";"117152";"Загородное шоссе, дом 18А";"Бышов Андрей Алексеевич";"исполняющий обязанности главного врача";"мужской";"(495) 952-90-22";"(495) 952-90-22";"(495) 952-87-22";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"600";"1-е терапевтическое отделение; 2-е терапевтическое отделение; 3-е терапевтическое отделение; 4-е терапевтическое отделение; 5-е терапевтическое отделение; 1-е хирургическое отделение; 2-е хирургическое отделение; 1-е гинекологическое отделение; 2-е гинекологическое отделение; Кардиологическое отделение; 1-е неврологическое отделение; 2-е неврологическое отделение; Отделение анестезиологии и реанимации; Физиотерапевтическое отделение; Эндоскопическое отделение; Отделение лучевой и ультразвуковой диагностики; Отделение функциональной диагностики; Отделение радиоизотопной диагностики";"";"37,600997";"55,696166";"84055693";
37;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 57 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 57 ДЗМ";"Восточный административный округ";"район Восточное Измайлово";"105077";"11-я Парковая улица, дом 32";"Назарова Ирина Александровна";"главный врач";"женский";"(495) 465-15-53";"(495) 465-18-76";"(495) 465-99-94";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1030";"Отделении терапии; Отделение кардиологии; Отделение аллергологии; Отделение пульмонологии; Отделение неврологии; Отделение сосудистой хирургии; Отделение общей хирургии; Отделение урологии; Отделение онкологии; Отделение онкоурологии; Отделение онкогинекологии; Отделение Химиотерапии; Отделение радиологии; Отделение дневной стационар по аллергологии";"";"37,806693";"55,798368";"84055694";
38;"Государственное бюджетное учреждение здравоохранения города Москвы «Государственная клиническая урологическая больница № 47 филиал № 1 Городской клинической больницы № 57 Департамента здравоохранения города Москвы»";"ГБУЗ ГКУБ № 47 филиал № 1 ГКБ № 57 ДЗМ";"Восточный административный округ";"район Восточное Измайлово";"105425";"3-я Парковая улица, дом 51";"Жевелюк Александр Григорьевич";"заведующий филиалом";"мужской";"(499) 163-42-90";"(499) 164-66-20";"(499) 164-93-24";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:30-17:00; вторник 08:30-17:00; среда 08:30-17:00; четверг 08:30-17:00; пятница 08:30-17:00; суббота выходной; воскресенье выходной";"";"многопрофильное медицинское учреждение";"180";"Онкологическое отделение; Отделение абдоминальной онкологии; Онкопроктологическое отделение; Урологическое отделение";"";"37,78113";"55,801707";"84055695";
39;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 59 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 59 ДЗМ";"Центральный административный округ";"Тверской район";"127473";"улица Достоевского, дом 31";"Бахитов Вячеслав Витальевич";"главный врач";"мужской";"(499) 978-65-21";"(499) 978-65-21";"(499) 978-65-28";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"541 стационарная койка, 21 реанимационная койка, 10 (работает в двухсменном режиме) коек - дневной стационар";"Терапевтическое отделение; Кардиологическое отделение; Кардиологическое отделение для больных инфарктом миокарда; Кардио-блок; Ортопедическое отделение; Травматологическое отделение; Оториноларингологическое отделение гнойной хирургии; Отделение гнойной хирургии с костной патологией; Консультативно-диагностическая поликлиника; дневной стационар (ЛОР профиля)";"";"37,605807";"55,784051";"84055696";
40;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 6 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 6 ДЗМ";"Центральный административный округ";"Басманный район";"105066";"Новая Басманная улица, дом 26";"Шапкин Николай Михайлович";"главный врач";"мужской";"(499) 261-04-08";"(499) 261-04-08";"(499) 261-04-08";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"572";"";"";"37,665341";"55,76954";"84055697";
41;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 60 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 60 ДЗМ";"Восточный административный округ";"район Перово";"111123";"Новогиреевская улица, дом 1";"Лукашев Александр Михайлович";"главный врач";"мужской";"(495) 304-29-17";"(495) 304-29-17";"(495) 304-31-63";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"918";"Приёмное отделение";"";"37,793908";"55,76441";"84055698";
42;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 61 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 61 ДЗМ";"Центральный административный округ";"район Хамовники";"119048";"улица Доватора, дом 15, строение 1";"Соболев Константин Эдуардович";"главный врач";"мужской";"(499) 246-96-20";"(499) 246-96-20";"(499) 246-27-26";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:30-20:00; вторник 08:30-20:00; среда 08:30-20:00; четверг 08:30-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"праздничные дни 09:00-16:00";"многопрофильное медицинское учреждение";"595 (6 реанимационных)";"";"";"37,566447";"55,72235";"84055699";
43;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 63 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 63 ДЗМ";"Центральный административный округ";"Мещанский район";"129090";"улица Дурова, дом 26";"Свет Алексей Викторович";"главный врач";"мужской";"(495) 681-20-66";"(495) 681-20-66";"(495) 688-94-10";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"613";"Пульмонологическое отделение";"";"37,626482";"55,778151";"84055700";
44;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 64 Департамента Здравоохранения города Москвы»";"ГБУЗ ГКБ № 64 ДЗМ";"Юго-Западный административный округ";"Академический район";"117292";"улица Вавилова, дом 61";"Габриелян Артур Рудольфович";"главный врач";"мужской";"(499) 134-64-79";"(499) 134-64-79";"(499) 135-51-26";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"830";"";"";"37,558173";"55,687507";"84055701";
45;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 67 им. Л. А. Ворохобова ДЗМ";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"123154";"улица Саляма Адиля, дом 2/44";"Шкода Андрей Сергеевич";"главный врач";"мужской";"(499) 199-79-56";"(495) 530-33-88";"(495) 530-33-53";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"90";"Педиатрические отделение";"";"37,46539";"55,77235";"84055702";
46;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 68 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 68 ДЗМ";"Юго-Восточный административный округ";"район Текстильщики";"109263";"улица Шкулёва, дом 4";"Галь Игорь Геннадиевич";"главный врач";"мужской";"(499) 179-66-22";"(499) 179-66-22";"(499) 178-87-15";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1177";"";"";"37,749852";"55,693265";"84055703";
47;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 7 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 7 ДЗМ";"Южный административный округ";"район Нагатино-Садовники";"115446";"Коломенский проезд, дом 4";"Бадма-Гаряев Мерген Сергеевич";"главный врач";"мужской";"(499) 782-30-70";"(499) 782-30-18; (499) 612-45-66";"(499) 782-31-92";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1541";"Приемно-диагностическое отделение; Приемное отделение терапевтического корпуса; Гастроэнтерологическое отделение № 21; Кардиологическое отделение № 6 для больных с инфарктом миокарда; Кардиологическое отделение № 20; Кардиологическое отделение № 7; Неврологическое отделение №2 для больных с нарушениями мозгового кровообращения; Неврологическое отделение № 3; Терапевтическое отделение № 22; Терапевтическое отделение № 23; терапевтическое отделение № 24; Терапевтическое отделение №4; Операционный блок; Отделение кардиохирургии № 25; Отделение нейрохирургии № 19; Отделение рентгенохирургических методов диагностики и лечения; Отделение сосудистой хирургии № 18; Отделение хирургии № 12; Отделение хирургии № 13; Отделение хирургии № 5; Отделение хирургии № 9; Травматологическое отделение № 10; Травматологическое отделение № 11; Отделение анестезиологии-реанимации № 1 (ОАР № 1); Отделение анестезиологии-реанимации № 10 (ОАР № 10); Отделение анестезиологии-реанимации № 11 (ОАР № 11); Отделение анестезиологии-реанимации № 2 (ОАР № 2); Отделение анестезиологии-реанимации № 4 (ОАР № 4); Отделение анестезиологии-реанимации № 5 (ОАР № 5); Отделение анестезиологии-реанимации № 6 (ОАР № 6); Отделение анестезиологии-реанимации № 7 (ОАР № 7); Отделение анестезиологии-реанимации № 8 (ОАР № 8); Отделение анестезиологии-реанимации № 9 (ОАР № 9); Акушерско-обсервационное отделение; Акушерско-физиологическое отделение; Гинекологическое отделение № 16; гинекологическое отделение № 17; Отделение новорожденных детей, в том числе для недоношенных; отделение патологии беременности (ОПБ)";"";"37,640769";"55,662697";"84055704";
48;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 70 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 70 ДЗМ";"Восточный административный округ";"район Новогиреево";"111399";"Федеративный проспект, дом 17";"Предтеченская Анна Вячеславовна";"главный врач";"женский";"(495) 304-42-16";"(495) 304-42-16";"(495) 303-97-69";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"многопрофильное медицинское учреждение";"924 + 57 реанимационных + 24 дневного стационара";"";"Проезд: метро Новогиреево, последний вагон из центра, направо, 5 минут пешком.";"37,813763";"55,755562";"84055705";
49;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 71 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 71 ДЗМ";"Западный административный округ";"Можайский район";"121374";"Можайское шоссе, дом 14, строение 10";"Мясников Александр Леонидович";"главный врач";"мужской";"(495) 440-20-93";"(495) 440-20-93";"(495) 440-21-01";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"770";"Приёмное отделение; Отделение сердечно-сосудистой патологии; Терапевтическое отделение; Неврологическое отделение; Неврологическое для больных с острыми нарушениями мозгового кровообращения; Хирургическое отделение; Травматологическое отделение; Оториноларингологическое отделение; Микрохирургическое отделение; Отделение по уходу";"";"37,431375";"55,722927";"84055706";
50;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 72 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 72 ДЗМ";"Западный административный округ";"район Филёвский Парк";"121096";"улица Олеко Дундича, дом 11";"Заборский Владимир Марьянович";"главный врач";"мужской";"(499) 148-70-54";"(499) 148-22-98";"(499) 142-39-81";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник закрыто; вторник закрыто; среда закрыто; четверг закрыто; пятница закрыто; суббота закрыто; воскресенье закрыто";"";"многопрофильное медицинское учреждение";"130";"Педиатрическое отделение";"";"37,493383";"55,740518";"84055707";
51;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 79 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 79 ДЗМ";"Южный административный округ";"район Нагатино-Садовники";"115487";"улица Академика Миллионщикова, дом 1";"Косаченко Алина Георгиевна";"главный врач";"женский";"(499) 612-75-07";"(499) 612-75-07";"(499) 612-05-31";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"518";"Приёмное отделение";"";"37,654735";"55,672735";"84055708";
52;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 81 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 81 ДЗМ";"Северный административный округ";"Дмитровский район";"127644";"Лобненская улица, дом 10";"Андрейченко Александр Тимофеевич";"главный врач";"мужской";"(495) 483-42-44";"(495) 483-42-44";"(495) 483-02-47";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"955";"Отделение анестезиологии и реанимации";"";"37,532652";"55,889767";"84055709";
53;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени С. П. Боткина Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. С. П. Боткина ДЗМ";"Северный административный округ";"район Беговой";"125284";"2-й Боткинский проезд, дом 5, корпус 1";"Яковлев Владимир Николаевич";"главный врач";"мужской";"(495) 945-26-16";"(495) 945-26-16";"(499) 762-62-29";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1993";"Терапевтические отделения";"";"37,553252";"55,782232";"84055710";
54;"Государственное казенное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница №1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГКУЗ ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Южный административный округ";"Донской район";"117152";"Загородное шоссе, дом 2";"Шуляк Юрий Афанасьевич";"главный врач";"мужской";"(495) 952-87-90";"(495) 952-87-90";"(495) 954-22-94";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:30-18:00; вторник 08:30-17:00; среда 08:30-17:00; четверг 08:30-18:00; пятница 08:30-16:00; суббота 08:30-13:00; воскресенье выходной";"";"психиатрия";"1802";"";"";"37,605369";"55,698307";"87727597";
55;"Государственное казенное учреждение здравоохранения города Москва «Психиатрическая клиническая больница № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы»";"ГКУЗ ПКБ № 4 им. П. Б. Ганнушкина ДЗМ";"Восточный административный округ";"район Преображенское";"107076";"Потешная улица, дом 3";"Нарышкин Андрей Владимирович";"главный врач";"мужской";"(495) 963-01-64";"(495) 963-01-64";"(495) 963-08-79";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:30-17:00; вторник 08:30-17:00; среда 08:30-17:00; четверг 08:30-17:00; пятница 08:30-17:00; суббота выходной; воскресенье выходной";"";"психиатрия";"";"";"";"37,70329";"55,799095";"87776643";
56;"Государственное казенное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница № 15 Департамента здравоохранения города Москвы»";"ГКУЗ ПКБ № 15 ДЗМ";"Южный административный округ";"район Москворечье-Сабурово";"115522";"улица Москворечье, дом 7";"Кононец Александр Семенович";"главный врач";"мужской";"(499) 324-53-89";"(499) 324-53-89";"(499) 324-40-19";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"";"";"";"37,645697";"55,652152";"87776644";
57;"Государственное казенное учреждение здравоохранения города Москвы «Туберкулёзная клиническая больница № 3 имени професора Г. А. Захарьина Департамента здравоохранения города Москвы»";"ГКУЗ ТКБ № 3 им. проф. Г. А. Захарьина ДЗМ";"Северо-Западный административный округ";"район Куркино";"125466";"Куркинское шоссе, дом 29";"Собкин Александр Лазаревич";"главный врач";"мужской";"(495) 572-71-45";"(495) 572-71-45";"(495) 571-20-55";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"противотуберкулезная больница";"805";"Отделение торакальной хирургии";"";"37,382185";"55,884591";"87776645";
58;"Государственное казенное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница № 12 Департамента здравоохранения города Москвы»";"ГКУЗ ПКБ № 12 ДЗМ";"Северо-Западный административный округ";"район Покровское-Стрешнево";"123367";"Волоколамское шоссе, дом 47";"Соболев Владимир Алексеевич";"главный врач";"мужской";"(499) 193-72-33";"(499) 193-04-00";"(499) 193-60-40";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"психиатрия";"108";"Амбулаторно-стационарное психиатрическое отделение";"";"37,464772";"55,814404";"87776646";
59;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 9 Департамента здравоохранения города Москвы»";"ГБУЗ ГБ № 9 ДЗМ";"Восточный административный округ";"район Восточный";"105173";"Западная улица, дом 2";"Дрошнев Вячеслав Михайлович";"главный врач";"мужской";"(499) 780-51-17";"(499) 780-51-17";"(499) 780-51-11";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"35";"Терапевтическое отделение";"";"37,858037";"55,818334";"87776647";
60;"Государственное бюджетное учреждение здравоохранения города Москвы «Офтальмологическая клиническая больница Департамента здравоохранения города Москвы»";"ГБУЗ ОКБ ДЗМ";"Центральный административный округ";"Тверской район";"123001";"Мамоновский переулок, дом 7";"Корчуганова Елена Александровна";"главный врач";"женский";"(495) 699-44-39";"(495) 699-30-20";"(495) 699-01-31";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-16:00; воскресенье выходной";"";"офтальмология";"170";"2-е отделение лечебно-консультативного приёма; Физиотерапевтическое отделение; Диагностическое отделение; Онкологическое отделение; 3-е отделение стационара; Отделение неотложной помощи";"";"37,599277";"55,766813";"87776648";
61;"Государственное казенное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 1 Департамента здравоохранения города Москвы»";"ГКУЗ ИКБ № 1 ДЗМ";"Северо-Западный административный округ";"район Покровское-Стрешнево";"125367";"Волоколамское шоссе, дом 63";"Малышев Николай Александрович";"главный врач";"мужской";"(495) 490-14-14";"(499) 190-01-01; (499) 190-01-01";"(495) 942-48-39";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"инфекционная больница";"826";"Приёмное отделение";"";"37,458634";"55,81608";"87776649";
62;"Государственное казенное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 2 Департамента здравоохранения города Москвы»";"ГКУЗ ИКБ № 2 ДЗМ";"Восточный административный округ";"район Соколиная Гора";"105275";"8-я улица Соколиной горы, дом 15";"Мясников Вячеслав Анатольевич";"главный врач";"мужской";"(495) 365-37-96";"(495) 365-37-96";"(495) 365-24-88";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота выходной; воскресенье выходной";"";"инфекционная больница";"";"Приёмное отделение; Инфекционное отделение для взрослых больных рожей; Инфекционное отделение для взрослых больных гепатитом; Инфекционное отделение для взрослых больных ПТИ; Инфекционное отделение для взрослых б-ч с стр. кишечными инф.; Хирургическое отделение с операционным блоком для ВИЧ инфицированных; Инфекционный бокс отделения 1; Инфекционный бокс отделения 2; Инфекционный бокс отделения 3; Инфекционный бокс отделения 4; Инфекционный бокс отделения 5; Инфекционный бокс детского отделения; Отделения анестезиологии и реанимации для ВИЧ инфицированных больных; Отделение реанимации и интенсивной терапии с кабинетом гемодиализа; Экспресс лаборатория; Консультативное отделение; Городской Центр профилактики и борьбы со СПИДом; Родильный дом; клинико-диагностическая лаборатория; Баклаборатория; Физиологическое отделение; Отделение УЗИ; Отделение функциональной диагностики; Эндоскопическое отделение; Отделение лазерной терапии; Патологоанатомическое отделение; Кабинет медицинской статистики; ЦСО; Дезинфекционное отделение; Городской консультационный кабинет по вакционно-сывороточной профилактике клещ. вирусного энцефалита; Отделение материально-технического снабжения; Хозяйственное отделение; Автохозяйство; Пищеблок; Отделение обеззараживания медицинских отходов; Инженерно-технические службы; Прач.-дез. служба; Служба кадров; Бухгалтерия; Планово-экономический отдел; Общий отдел";"";"37,740698";"55,770436";"87776650";
63;"Государственное казенное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 3 Департамента здравоохранения города Москвы»";"ГКУЗ ИКБ № 3 ДЗМ";"Юго-Восточный административный округ";"район Печатники";"109235";"1-я Курьяновская улица, дом 34";"Кобаль Елена Анатольевна";"главный врач";"женский";"(495) 349-50-53";"(495) 349-50-53";"(495) 357-33-21";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"инфекционная больница";"570";"";"";"37,697363";"55,652457";"87776651";
